"","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt"
"1","season1",0,1,"nonholiday","Sat","nonworkingday","weather2","lowtemp1",0.363625,"highhum2","lowwind1",331,654,985
"2","season1",0,1,"nonholiday","Sun","nonworkingday","weather2","lowtemp1",0.353739,"highhum2","highwind2",131,670,801
"3","season1",0,1,"nonholiday","Mon","workingday","weather1","lowtemp2",0.189405,"lowhum1","highwind2",120,1229,1349
"4","season1",0,1,"nonholiday","Tue","workingday","weather1","lowtemp2",0.212122,"highhum1","lowwind1",108,1454,1562
"5","season1",0,1,"nonholiday","Wed","workingday","weather1","lowtemp2",0.22927,"lowhum1","highwind1",82,1518,1600
"6","season1",0,1,"nonholiday","Thu","workingday","weather1","lowtemp2",0.233209,"highhum1","lowwind2",88,1518,1606
"7","season1",0,1,"nonholiday","Fri","workingday","weather2","lowtemp2",0.208839,"highhum1","lowwind1",148,1362,1510
"8","season1",0,1,"nonholiday","Sat","nonworkingday","weather2","lowtemp2",0.162254,"highhum1","highwind2",68,891,959
"9","season1",0,1,"nonholiday","Sun","nonworkingday","weather1","lowtemp2",0.116175,"lowhum1","highwind2",54,768,822
"10","season1",0,1,"nonholiday","Mon","workingday","weather1","lowtemp2",0.150888,"lowhum1","highwind1",41,1280,1321
"11","season1",0,1,"nonholiday","Tue","workingday","weather2","lowtemp2",0.191464,"highhum2","lowwind2",43,1220,1263
"12","season1",0,1,"nonholiday","Wed","workingday","weather1","lowtemp2",0.160473,"highhum1","highwind2",25,1137,1162
"13","season1",0,1,"nonholiday","Thu","workingday","weather1","lowtemp2",0.150883,"lowhum1","highwind2",38,1368,1406
"14","season1",0,1,"nonholiday","Fri","workingday","weather1","lowtemp2",0.188413,"highhum1","lowwind2",54,1367,1421
"15","season1",0,1,"nonholiday","Sat","nonworkingday","weather2","lowtemp2",0.248112,"highhum1","lowwind1",222,1026,1248
"16","season1",0,1,"nonholiday","Sun","nonworkingday","weather1","lowtemp2",0.234217,"lowhum1","highwind1",251,953,1204
"17","season1",0,1,"holiday","Mon","nonworkingday","weather2","lowtemp2",0.176771,"highhum1","highwind1",117,883,1000
"18","season1",0,1,"nonholiday","Tue","workingday","weather2","lowtemp2",0.232333,NA,"lowwind1",9,674,683
"19","season1",0,1,"nonholiday","Wed","workingday","weather2","lowtemp2",0.298422,"highhum2","highwind1",78,1572,1650
"20","season1",0,1,"nonholiday","Thu","workingday","weather2","lowtemp2",0.25505,"highhum1","highwind1",83,1844,1927
"21","season1",0,1,"nonholiday","Fri","workingday","weather1","lowtemp2",0.157833,"lowhum1","highwind2",75,1468,1543
"22","season1",0,1,"nonholiday","Sat","nonworkingday","weather1","lowtemp2",0.0790696,"lowhum1","lowwind1",93,888,981
"23","season1",0,1,"nonholiday","Sun","nonworkingday","weather1","lowtemp2",0.0988391,"lowhum1","highwind2",150,836,986
"24","season1",0,1,"nonholiday","Mon","workingday","weather1","lowtemp2",0.11793,"lowhum1","lowwind1",86,1330,1416
"25","season1",0,1,"nonholiday","Tue","workingday","weather2","lowtemp2",0.234526,"highhum1","lowwind2",186,1799,1985
"26","season1",0,1,"nonholiday","Wed","workingday","weather3","lowtemp2",0.2036,NA,"highwind2",34,472,506
"27","season1",0,1,"nonholiday","Thu","workingday","weather1","lowtemp2",0.2197,"highhum2","lowwind2",15,416,431
"28","season1",0,1,"nonholiday","Fri","workingday","weather2","lowtemp2",0.223317,"highhum2","lowwind2",38,1129,1167
"29","season1",0,1,"nonholiday","Sat","nonworkingday","weather1","lowtemp2",0.212126,"highhum1","lowwind1",123,975,1098
"30","season1",0,1,"nonholiday","Sun","nonworkingday","weather1","lowtemp2",0.250322,"highhum2","lowwind2",140,956,1096
"31","season1",0,1,"nonholiday","Mon","workingday","weather2","lowtemp2",0.18625,"highhum1","highwind1",42,1459,1501
"32","season1",0,2,"nonholiday","Tue","workingday","weather2","lowtemp2",0.23453,"highhum2","lowwind2",47,1313,1360
"33","season1",0,2,"nonholiday","Wed","workingday","weather2","lowtemp2",0.254417,"highhum2","highwind2",72,1454,1526
"34","season1",0,2,"nonholiday","Thu","workingday","weather1","lowtemp2",0.177878,"lowhum1","highwind2",61,1489,1550
"35","season1",0,2,"nonholiday","Fri","workingday","weather2","lowtemp2",0.228587,"highhum1","lowwind2",88,1620,1708
"36","season1",0,2,"nonholiday","Sat","nonworkingday","weather2","lowtemp2",0.243058,NA,"lowwind1",100,905,1005
"37","season1",0,2,"nonholiday","Sun","nonworkingday","weather1","lowtemp2",0.291671,"highhum1","lowwind1",354,1269,1623
"38","season1",0,2,"nonholiday","Mon","workingday","weather1","lowtemp2",0.303658,"highhum2","lowwind2",120,1592,1712
